class_index;class_name;keywords
1;user_experience;ribet menyulitkan mempermudah mudah kurang membebani diperbaiki update pembaruan diupdate buruk perbaiki terkunci susah susahnya membingungkan kecewa diupdate kacau jelek error buruk parah repot pusing payah
2;server;server time out loading gangguan
3;payment;bank bayar pembayaran auto debit autodebit rekening transfer tagihan
5;authentication_and_account;edit profile password login email masuk terdaftar daftar registrasi login nomor no hp sms captcha verifikasi menunggu otp ulang pulsa ktp nik biometrik logout
7;faskes;faskes pribadi kartu bpjs
