class_index;class_name;keywords
1;user_experience;ribet good baik memudahkan best mempermudah mudah menyulitkan kurang membebani akses terkunci diperbaiki update pembaruan diupdate buruk perbaiki terkunci susah membingungkan kecewa diupdate kacau jelek
2;server;server time out loading gangguan refresh
3;payment;bank banking pembayaran bayar auto debit autodebit rekening mandiri
5;authentication;login email masuk terdaftar daftar registrasi login nomor no hp sms captcha verifikasi menunggu otp
6;account;edit profile password logout penambahan data keluarga anggota peserta ganti faskes pindah data pribadi
